name,buying date,category,discount,final price,months in use,original link,original price,status
jogo de panelas,"September 1, 2025",kitchen,50%,$0.00,8.766666666667,,$0.00,soon
escorredor,"August 31, 2025",kitchen,50%,$0.00,8.8,,$0.00,soon
plastic bowl 2x,"August 31, 2025",kitchen,50%,$5.00,8.8,,$10.00,available now
crock pot,"August 31, 2025",kitchen,60%,$35.95,8.8,https://www.walmart.com/ip/Crock-Pot-7-Quart-Smart-Pot-Slow-Cooker-Brushed-Stainless-Steel/54947078,$89.87,available now
popcorn popper,"August 31, 2025",kitchen,50%,$7.50,8.8,,$15.00,available now
water filter,"August 31, 2025",kitchen,50%,$2.50,8.8,,$5.00,available now
water filter pitcher,"August 31, 2025",kitchen,50%,$8.00,8.8,https://www.cvs.com/shop/brita-small-6-cup-denali-water-filter-pitcher-with-1-brita-standard-filter-white-prodid-822759,$16.00,available after Jun 15
organizer set,"September 8, 2025",organizers,50%,$6.00,8.533333333333,https://www.target.com/p/6pc-plastic-drawer-organizer-clear-brightroom-8482/-/A-83901180#lnk=sametab,$12.00,available after Jun 15
cookie sheet large,"September 8, 2025",kitchen,50%,$4.50,8.533333333333,https://www.target.com/p/goodcook-11-34-x17-34-nonstick-steel-cookie-sheet-gray/-/A-88232825#lnk=sametab,$9.00,available after Jun 15
organizadores variados,"August 31, 2025",organizers,50%,$0.00,8.8,,$0.00,soon
office desk chair,"November 23, 2025",furniture,50%,$19.93,6,https://a.co/d/04iDZkaV,$39.86,available after Jun 15
outlet extender - 10 FT,"November 23, 2025",eletronic,50%,$6.50,6,https://a.co/d/0cWexYQx,$12.99,available now
air matress - full size,"October 18, 2025",bedding,50%,$36.12,7.2,https://a.co/d/0ej6j13B,$72.24,available now
outlet extender - 5FT,"September 24, 2025",eletronic,50%,$4.50,8,https://a.co/d/09bkiCag,$8.99,available now
outlet extender - 5FT,"September 18, 2025",eletronic,50%,$4.50,8.2,https://a.co/d/09bkiCag,$8.99,available now
mugs (4x),"September 15, 2025",kitchen,50%,$6.37,8.3,https://a.co/d/07d08yoG,$12.74,available now
rug 8’x10’,"March 27, 2026",decor,50%,$37.94,1.866666666667,https://a.co/d/0cAkhJsm,$75.88,available after Jun 15
entryway rug,"January 30, 2026",decor,50%,$8.20,3.733333333333,https://a.co/d/0cl6qUhI,$16.40,available after Jun 15
desk tool organizer,"October 15, 2025",organizers,50%,$7.00,7.3,https://www.target.com/p/canvas-desk-tool-holder-organizer-black---brightroom--8482---desktop---38--office-organizers--polyester-canvas--12-25--34--width/-/A-86941073,$14.00,available after Jun 15
makeup organizer,"October 16, 2025",organizers,50%,$7.50,7.266666666667,https://www.target.com/p/makeup-turntable-beauty-vanity-organizer-small---brightroom--8482---clear-plastic-makeup-storage-with-5-compartments--7--34-x7--34-x5-88--34-/-/A-75663616,$15.00,available after Jun 15
storage bin,"October 17, 2025",organizers,20%,$6.40,7.233333333333,https://www.target.com/p/32qt-clear-storage-bin-with-latches---brightroom--8482-/-/A-93286401,$8.00,available after Jun 15
 3-drawer stacking,"October 21, 2025",organizers,50%,$10.50,7.1,https://www.target.com/p/iris-medium-3-drawer-stacking-desktop-organizer--1-pack--plastic-drawer-storage-container-for-stationery-art-craft-supplies--white/-/A-87079304,$20.99,available now
manual can opener,"October 18, 2025",kitchen,50%,$6.50,7.2,https://www.target.com/p/movssou-manual-can-opener-stainless-steel-safe-smooth-edge/-/A-93276577,$12.99,available after Jun 15
office desk chair,,furniture,60%,$16.00,,,$40.00,available now
sheet set - queen size - 4 pieces - offwhite,"August 28, 2025",bedding,70%,$9.00,8.9,https://www.amazon.com/dp/B0CT9R7WN5?ref_=ppx_hzod_title_dt_b_fed_asin_title_1_1,$29.99,available after Jun 15
blender,"October 13, 2025",kitchen,50%,$10.00,7.366666666667,https://www.target.com/p/hamilton-beach-one-speed-single-serve-blender-black/-/A-11893664,$20.00,available after Jun 15
cake pan small,"September 8, 2025",kitchen,50%,$4.50,8.533333333333,,$9.00,available now
shot glass,,kitchen,60%,$8.00,,,$20.00,available now
plastic plates 5x,,kitchen,50%,$5.00,,,$10.00,available now
pie dish,,kitchen,50%,$10.00,,,$20.00,available now
serving bowl,,kitchen,30%,$21.00,,,$30.00,available now
drawer organizer,,organizers,50%,$6.00,,https://www.amazon.com/Madesmart-Classic-4-Compartment-Organizer-Multipurpose/dp/B00EE05GG0?th=1,$12.00,available now
