category,name,status,original price,discount,final price,months in use,buying date,original link
kitchen,escorredor,soon,$0.00,50%,$0.00,8.8,"August 31, 2025",
kitchen,flatware,available after Jun 15,$15.00,50%,$7.50,8.766666666667,"September 1, 2025",https://www.target.com/p/20pc-teagan-flatware-silver-room-essentials-8482/-/A-14901073#lnk=sametab
kitchen,glass 2x,available now,$16.00,50%,$8.00,8.8,"August 31, 2025",
kitchen,ikea plates 5x,available after Jun 15,$25.00,50%,$12.50,8.8,"August 31, 2025",https://www.ikea.com/us/en/p/faergklar-18-piece-dinnerware-set-matte-dark-gray-20564710/
kitchen,jogo de panelas,soon,$0.00,50%,$0.00,8.766666666667,"September 1, 2025",
kitchen,manual can opener,available after Jun 15,$12.99,50%,$6.50,7.2,"October 18, 2025",https://www.target.com/p/movssou-manual-can-opener-stainless-steel-safe-smooth-edge/-/A-93276577
kitchen,mugs (4x),available now,$12.74,50%,$6.37,8.3,"September 15, 2025",https://a.co/d/07d08yoG
kitchen,pie dish,available now,$20.00,50%,$10.00,,,
kitchen,plastic bowl 2x,available now,$10.00,50%,$5.00,8.8,"August 31, 2025",
kitchen,plastic plates 5x,available now,$10.00,50%,$5.00,,,
kitchen,popcorn popper,available now,$15.00,50%,$7.50,8.8,"August 31, 2025",
kitchen,serving bowl,available now,$30.00,30%,$21.00,,,
kitchen,shot glass,available now,$20.00,60%,$8.00,,,
kitchen,small shot glass,available now,$8.00,50%,$4.00,8.8,"August 31, 2025",
kitchen,stub glass - low 3x,available now,$20.00,50%,$10.00,8.8,"August 31, 2025",
kitchen,stub glass - tall 5x,available now,$40.00,50%,$20.00,8.8,"August 31, 2025",
kitchen,utensil set with holder,available after Jun 15,$10.00,50%,$5.00,8.8,"August 31, 2025",
kitchen,water filter,available now,$5.00,50%,$2.50,8.8,"August 31, 2025",
kitchen,water filter pitcher,available after Jun 15,$16.00,50%,$8.00,8.8,"August 31, 2025",https://www.cvs.com/shop/brita-small-6-cup-denali-water-filter-pitcher-with-1-brita-standard-filter-white-prodid-822759
organizers, 3-drawer stacking,available now,$20.99,50%,$10.50,7.1,"October 21, 2025",https://www.target.com/p/iris-medium-3-drawer-stacking-desktop-organizer--1-pack--plastic-drawer-storage-container-for-stationery-art-craft-supplies--white/-/A-87079304
organizers,basket 2x,soon,$0.00,50%,$0.00,9,"August 25, 2025",
organizers,desk tool organizer,available after Jun 15,$14.00,50%,$7.00,7.3,"October 15, 2025",https://www.target.com/p/canvas-desk-tool-holder-organizer-black---brightroom--8482---desktop---38--office-organizers--polyester-canvas--12-25--34--width/-/A-86941073
organizers,drawer organizer,available now,$12.00,50%,$6.00,,,https://www.amazon.com/Madesmart-Classic-4-Compartment-Organizer-Multipurpose/dp/B00EE05GG0?th=1
organizers,lixeira de metal,soon,$0.00,50%,$0.00,8.8,"August 31, 2025",
organizers,lixeira de plástico,soon,$0.00,50%,$0.00,8.8,"August 31, 2025",
organizers,makeup organizer,available after Jun 15,$15.00,50%,$7.50,7.266666666667,"October 16, 2025",https://www.target.com/p/makeup-turntable-beauty-vanity-organizer-small---brightroom--8482---clear-plastic-makeup-storage-with-5-compartments--7--34-x7--34-x5-88--34-/-/A-75663616
organizers,organizadores variados,soon,$0.00,50%,$0.00,8.8,"August 31, 2025",
organizers,organizer set,available after Jun 15,$12.00,50%,$6.00,8.533333333333,"September 8, 2025",https://www.target.com/p/6pc-plastic-drawer-organizer-clear-brightroom-8482/-/A-83901180#lnk=sametab
organizers,storage bin,available after Jun 15,$8.00,20%,$6.40,7.233333333333,"October 17, 2025",https://www.target.com/p/32qt-clear-storage-bin-with-latches---brightroom--8482-/-/A-93286401
cleaning,"bucket ",available after Jun 15,$15.88,50%,$7.94,8.9,"August 28, 2025",https://www.amazon.com/dp/B0D2HWD7YN?ref_=ppx_hzod_title_dt_b_fed_asin_title_1_0
cleaning,mop,available after Jun 15,$15.00,50%,$7.50,8.9,"August 28, 2025",
cleaning,power mop + pads,available after Jun 15,$29.94,20%,$23.95,8.9,"August 28, 2025",https://www.amazon.com/dp/B0C1DWC251?ref_=ppx_hzod_title_dt_b_fed_asin_title_0_0
others,pebolim,soon,$0.00,50%,$0.00,8.8,"August 31, 2025",
others,yoga mat,available after Jun 15,$24.99,50%,$12.50,9,"August 25, 2025",https://www.amazon.com/dp/B091FXKQZ6?ref=ppx_yo2ov_dt_b_fed_asin_title
